Diameter (mm),Height (mm),Compressive Strength (MPa),Fiber Volume Ratio,Fiber Elastic Modulus (GPa),Fiber Tensile Strength (MPa),Fiber Thickness (mm),Number of Layers,Confinement Strength (MPa)
152,305,39.2,0.013,116,3732,0.51,3,113.2
152,305,47.8,0.067,22,508,2.5,3,88.9
76,305,30.93,0.012,73,1518,0.24,2,60.82
76,305,30.9,0.013,73,1578,0.24,1,60.8
100,200,29.16,0.015,76,2300,0.38,1,67.37
160,320,26.2,0.051,26,325,2,2,49.4
160,320,25,0.008,74,2500,0.33,3,42.8
100,200,28.86,0.015,76,2300,0.38,1,54.21
150,300,36.3,0.008,52,583,0.3,1,41.2
150,300,36.3,0.032,52,583,1.2,4,84.33
120,240,32.7,0.03,33,744,0.9,2,61.4
153,305,54.33,0.032,95,3055,1.2,4,109.2
152,305,18.3,0.005,76,3910,0.17,1,26.43
152,305,44.1,0.045,18,425,1.68,2,66.2
153,305,29.8,0.022,56,1800,0.83,3,49.02
152,305,40.2,0.027,26,610,1.02,1,49.6
152,305,38.5,0.034,22,506,1.27,1,51.9
100,300,78.5,0.035,118,2060,0.86,3,185.8
100,200,19.7,0.014,76,3910,0.34,2,44.34
100,200,30.2,0.006,97,2589,0.15,1,39
150,300,36.3,0.016,52,583,0.6,2,55.75
150,300,54,0.019,31,602,0.7,1,61.56
150,300,60,0.107,27,540,3.9,3,99.6
150,300,32.54,0.012,65,1700,0.46,3,73.56
150,300,31.1,0.069,21,464,2.54,2,91.6
153,305,33.9,0.011,95,3055,0.4,2,78.1
153,305,29.8,0.036,56,1800,1.38,4,88.32
100,200,67.03,0.107,26,575,2.6,2,97.6
160,320,40,0.014,74,2500,0.55,5,68.2
153,305,32.1,0.027,5,75,1.02,6,37.6
152,305,19.3,0.005,76,3910,0.17,1,25.89
150,300,42,0.024,65,3000,0.89,6,85
152.5,305,112.48,0.032,129,2390,1.2,6,163.1
150,300,36.3,0.016,52,583,0.6,2,60.52
153,305,37.2,0.109,19,586,4.06,7,111
150,300,39,0.015,65,1700,0.56,2,61
160,320,40,0.008,74,2500,0.33,3,50.8
160,320,26.2,0.051,26,325,2,2,52.5
120,240,32.7,0.03,33,744,0.9,2,62.2
150,300,29.6,0.069,21,464,2.54,2,89.4
160,320,26.2,0.025,26,325,1,1,34.6
160,320,26,0.013,9,171,0.5,2,42.6
152,305,110.6,0.067,22,508,2.5,2,144.3
152,305,79.9,0.101,22,508,3.75,3,120.8
153,305,29.8,0.036,56,1800,1.38,4,86.81
